id,imgUrl,productURL,stars,reviews,price
17,https://m.media-amazon.com/images/I/61ESnt1Z0GL._AC_UL480_FMwebp_QL65_.jpg,https://amzn.in/d/heGwp4Q,4.2,1872,199
17,https://m.media-amazon.com/images/I/713PykK6pML._SL1500_.jpg,https://amzn.in/d/4sOTakM,4,7160,216
17,https://m.media-amazon.com/images/I/4157SvDilRL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/7Rs7LJb,4,12,383
17,https://m.media-amazon.com/images/I/41zleFClVgL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/f6IRElE,3.6,20,"1,140"
17,https://m.media-amazon.com/images/I/31sD1oYsCVL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/9c9gLkO,4.9,11,379
18,https://m.media-amazon.com/images/I/91tuLRJml-L._SL1500_.jpg,https://amzn.in/d/8KhOjxf,3.8,63,"29,999"
18,https://m.media-amazon.com/images/I/4115K3alObL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/hLOSHlr,4.6,41,"2,13,000"
18,https://m.media-amazon.com/images/I/31yJmrnq6zL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/azTBs3Z,4.7,6,"1,79,999"
18,https://m.media-amazon.com/images/I/41IM9NYvj-L._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/7Py5bPK,5,34,"1,88,000"
18,https://m.media-amazon.com/images/I/51G-xwb7QHL._SY300_SX300_QL70_FMwebp_.jpg,https://amzn.in/d/3TLsgdA,4.6,800,"65,561"
19,https://m.media-amazon.com/images/I/71p8u7Upw1L._SL1500_.jpg,https://amzn.in/d/8EmF6M3,3.9,358,"52,990"
19,https://m.media-amazon.com/images/I/412UMSXXm-L._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/jejCLG7,4.2,699,"33,999"
19,https://m.media-amazon.com/images/I/41s63AvSgcL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/gH0Sdo8,3.6,8,"44,990"
19,https://m.media-amazon.com/images/I/41Q4nUPUnDL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/dwTk2Rf,3.9,358,"52,990"
19,https://m.media-amazon.com/images/I/410uXF+zY5L._SY300_SX300_.jpg,https://amzn.in/d/jgOscx0,4,80,"53,899"
20,https://m.media-amazon.com/images/I/31ZMMGdh5nL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/1fUsUOa,3.8,6169,798
20,https://m.media-amazon.com/images/I/41MjAMUD1AL._SX300_SY300_QL70_FMwebp_.jpg,https://amzn.in/d/2hledoM,4.1,311,998
20,https://m.media-amazon.com/images/I/31dSZIa0LZL._SY300_SX300_QL70_FMwebp_.jpg,https://amzn.in/d/8EWdzkb,3.8,222,949
20,https://m.media-amazon.com/images/I/71UW+1hbEcL._SL1500_.jpg,https://amzn.in/d/3uab1b9,3.6,363,"1,649"
20,https://m.media-amazon.com/images/I/31IFtZyT+eL._SY300_SX300_.jpg,https://amzn.in/d/8OIjIWO,3.8,1127,"1,499"
